id,Familia
Echium strictum L.f.,Boraginaceae
Bituminaria bituminosa (L.) C.H. Stirt.,Fabaceae
Limonium vulgare Mill.,Plumbaginaceae
Limonium sventenii A.Santos & M.Fernández,Plumbaginaceae
Limonium sinuatum (L.) Mill.,Plumbaginaceae
Aeonium arboreum (L.) Webb & Berthel.,Crassulaceae
Aeonium arboreum Webb & Berthel.,Crassulaceae
Opuntia ficus-indica (L.) Mill.,Cactaceae
Euphorbia lamarckii Sweet,Euphorbiaceae
Leucanthemum vulgare (Vaill.) Lam.,Asteraceae
Leucanthemum vulgare Lam.,Asteraceae
Anthemis cotula L.,Asteraceae
Tripleurospermum inodorum Sch.Bip.,Asteraceae
Leucanthemum maximum (Ramond) DC.,Asteraceae
Sideritis canariensis L.,Lamiaceae
Leucanthemum graminifolium (L.) Lam.,Asteraceae
Artemisia ludoviciana Nutt.,Asteraceae
Erysimum scoparium (Brouss. ex Willd.) Wettst.,Brassicaceae
Nepeta teydea Webb & Berthel.,Lamiaceae
Lavandula angustifolia Mill.,Lamiaceae
Andryala pinnatifida Aiton,Asteraceae
Artemisia arborescens L.,Asteraceae
Andryala integrifolia L.,Asteraceae
Echium pininana Webb & Berthel.,Boraginaceae
Solanum elaeagnifolium Cav.,Solanaceae
Hirschfeldia incana (L.) Lagr.-Foss.,Brassicaceae
Convolvulus fruticulosus Desr.,Convolvulaceae
Convolvulus hermanniae L'Hér.,Convolvulaceae
Clinopodium nepeta (L.) Kuntze,Lamiaceae
Jacquemontia pentanthos (Jacq.) G.Don,Convolvulaceae
Myrtus communis L.,Myrtaceae
Allium ampeloprasum L.,Amaryllidaceae
Brassica repanda (Willd.) DC.,Brassicaceae
Erodium laciniatum (Cav.) Willd.,Geraniaceae
Leontodon hispidus L.,Asteraceae
Thymelaea hirsuta (L.) Endl.,Thymelaeaceae
Malva sylvestris L.,Malvaceae
Anthemis chia L.,Asteraceae
Rubia peregrina L.,Rubiaceae
Hypochaeris maculata L.,Asteraceae
Taraxacum campylodes G.E.Haglund,Asteraceae
Crepis albida Vill.,Asteraceae
Pyrrhopappus grandiflorus (Nutt.) Nutt.,Asteraceae
Coleostephus myconis (L.) Rchb.f.,Asteraceae
Monolopia lanceolata Nutt.,Asteraceae
Monolopia major DC.,Asteraceae
